0 This is love: to fly toward a secret sky, to cause a hundred veils to fall each moment. First to let go of life. Finally, to take a step without feet.   -Rumi 
1 If you want things to be different, perhaps the answer is to become different yourself.  -Norman Peale
2 If you want things to be different, perhaps the answer is to become different yourself.  -Norman Peale
3 If you want things to be different, perhaps the answer is to become different yourself.  -Norman Peale
4 If you want things to be different, perhaps the answer is to become different yourself.  -Norman Peale
5 Creativity requires the courage to let go of certainties.  -Erich Fromm
6 Creativity requires the courage to let go of certainties.  -Erich Fromm
7 Creativity requires the courage to let go of certainties.  -Erich Fromm
0 Creativity requires the courage to let go of certainties.  -Erich Fromm
1 Creativity requires the courage to let go of certainties.  -Erich Fromm
2 Wrinkles should merely indicate where smiles have been.  -Mark Twain
3 Wrinkles should merely indicate where smiles have been.  -Mark Twain
4 Wrinkles should merely indicate where smiles have been.  -Mark Twain
5 Wrinkles should merely indicate where smiles have been.  -Mark Twain
6 Wrinkles should merely indicate where smiles have been.  -Mark Twain
